Meal Type,Recipe name,Calories (kcal),Protein (g),Fats (g),Ingredients,Instructions,Estimated Cost (₹)
Lunch,Miso-Butter Roast Chicken With Acorn Squash Panzanella,535.3,31.5,18.0,"'1 (-lb.) whole chicken', ' tsp. kosher salt, divided, plus more', '2 small acorn squash (about 3 lb. total)', '2 Tbsp. finely chopped sage', '1 Tbsp. finely chopped rosemary', '6 Tbsp. unsalted butter, melted, plus 3 Tbsp. room temperature', ' tsp. ground allspice', 'Pinch of crushed red pepper flakes', 'Freshly ground black pepper', 'A loaf good-quality sturdy white bread, torn into 1"" pieces (about cups)', '2 medium apples (such as Gala or Pink Lady; about oz. total), cored, cut into 1"" pieces', '2 Tbsp. extra-virgin olive oil', ' small red onion, thinly sliced', '3 Tbsp. apple cider vinegar', '1 Tbsp. white miso', ' cup all-purpose flour', '2 Tbsp. unsalted butter, room temperature', ' cup dry white wine', '2 cups unsalted chicken broth', '2 tsp. white miso', 'Kosher salt, freshly ground pepper'","1. Pat chicken dry with paper towels, season all over with 2 tsp. salt, and tie legs together with kitchen twine.
2. Let sit at room temperature 1 hour.
3. Meanwhile, halve squash and scoop out seeds.
4. Run a vegetable peeler along ridges of squash halves to remove skin.
5. Cut each half into ""-thick wedges; arrange on a rimmed baking sheet.
6. Combine sage, rosemary, and 6 Tbsp. melted butter in a large bowl; pour half of mixture over squash on baking sheet.
7. Sprinkle squash with allspice, red pepper flakes, and tsp. salt and season with black pepper; toss to coat.
8. Add bread, apples, oil, and tsp. salt to remaining herb butter in bowl; season with black pepper and toss to combine.
9. Set aside.
10. Place onion and vinegar in a small bowl; season with salt and toss to coat.
11. Let sit, tossing occasionally, until ready to serve.
12. Place a rack in middle and lower third of oven; preheat to .
13. Mix miso and 3 Tbsp. room-temperature butter in a small bowl until smooth.
14. Pat chicken dry with paper towels, then rub or brush all over with miso butter.
15. Place chicken in a large cast-iron skillet and roast on middle rack until an instant-read thermometer inserted into the thickest part of breast registers , minutes. (Temperature will climb to while chicken rests.) Let chicken rest in skillet at least 5 minutes, then transfer to a plate; reserve skillet.
16. Meanwhile, roast squash on lower rack until mostly tender, about minutes.
17. Remove from oven and scatter reserved bread mixture over, spreading into as even a layer as you can manage.
18. Return to oven and roast until bread is golden brown and crisp and apples are tender, about minutes.
19. Remove from oven, drain pickled onions, and toss to combine.
20. Transfer to a serving dish.
21. Using your fingers, mash flour and butter in a small bowl to combine.
22. Set reserved skillet with chicken drippings over medium heat.
23. You should have about cup, but a little over or under is all good. (If you have significantly more, drain off and set excess aside.) Add wine and cook, stirring often and scraping up any browned bits with a wooden spoon, until bits are loosened and wine is reduced by about half (you should be able to smell the wine), about 2 minutes.
24. Add butter mixture; cook, stirring often, until a smooth paste forms, about 2 minutes.
25. Add broth and any reserved drippings and cook, stirring constantly, until combined and thickened, 6A8 minutes.
26. Remove from heat and stir in miso.
27. Taste and season with salt and black pepper.
28. Serve chicken with gravy and squash panzanella alongside.",403.95
Lunch,Crispy Salt And Pepper Potatoes,630.0,31.0,16.1,"'2 large egg whites', '1 pound new potatoes (about 1 inch in diameter)', '2 teaspoons kosher salt', ' teaspoon finely ground black pepper', '1 teaspoon finely chopped rosemary', '1 teaspoon finely chopped thyme', '1 teaspoon finely chopped parsley'","1. Preheat oven to and line a rimmed baking sheet with parchment.
2. In a large bowl, whisk the egg whites until foamy (there shouldnAt be any liquid whites in the bowl).
3. Add the potatoes and toss until theyAre well coated with the egg whites, then transfer to a strainer or colander and let the excess whites drain.
4. Season the potatoes with the salt, pepper, and herbs.
5. Scatter the potatoes on the baking sheet (make sure theyAre not touching) and roast until the potatoes are very crispy and tender when poked with a knife, to minutes (depending on the size of the potatoes).
6. Transfer to a bowl and serve.",84.43
Dinner,Thanksgiving Mac And Cheese,483.7,16.1,24.3,"'1 cup evaporated milk', '1 cup whole milk', '1 tsp. garlic powder', '1 tsp. onion powder', '1 tsp. smoked paprika', ' tsp. freshly ground black pepper', '1 tsp. kosher salt, plus more', '2 lb. extra-sharp cheddar, coarsely grated', '4 oz. full-fat cream cheese', '1 lb. elbow macaroni'","1. Place a rack in middle of oven; preheat to .
2. Bring evaporated milk and whole milk to a bare simmer in a large saucepan over medium heat.
3. Whisk in garlic powder, onion powder, paprika, pepper, and 1 tsp. salt.
4. Working in batches, whisk in three fourths of the cheddar, then all of the cream cheese.
5. Meanwhile, bring a large pot of generously salted water to a boil (it should have a little less salt than seawater).
6. Cook macaroni, stirring occasionally, until very al dente, about 4 minutes.
7. Drain in a colander.
8. Add macaroni to cheese sauce in pan and mix until well coated.
9. Evenly spread out half of macaroni mixture in a 13x9"" baking dish.
10. Sprinkle half of remaining cheddar evenly over.
11. Layer remaining macaroni mixture on top and sprinkle with remaining cheddar.
12. Bake until all of the cheese is melted, about minutes.
13. Let cool slightly before serving.",182.47
Dinner,Italian Sausage And Bread Stuffing,428.3,36.9,27.7,"'1 (- to 1-pound) round Italian loaf, cut into 1-inch cubes (8 cups)', '2 tablespoons olive oil, divided', '2 pounds sweet Italian sausage, casings removed, divided', '1 stick unsalted butter, cut into pieces', '3 medium onions, chopped', '4 large celery ribs, chopped', '5 garlic cloves, minced', '4 large eggs, lightly beaten', ' cup heavy cream, divided', ' cup turkey giblet stock or reduced-sodium chicken broth', '1 cup grated Parmigiano-Reggiano (2 ounces)', ' cup coarsely chopped flat-leaf parsley', '4-qt shallow ceramic or glass baking dish'","1. Preheat oven to with rack in middle.
2. Generously butter baking dish.
3. Put bread in 2 shallow baking pans and bake, switching position of pans halfway through baking, until just dried out, about minutes.
4. Heat 1 tablespoon oil in a -inch heavy skillet over medium-high heat until it shimmers, then cook half of sausage, stirring and breaking it into small pieces, until golden brown, about 6 minutes.
5. Transfer with a slotted spoon to a large bowl.
6. Brown remaining sausage in remaining tablespoon oil, transferring to bowl.
7. Pour off fat from skillet and wipe clean.
8. Heat butter over medium heat until foam subsides, then cook onions, celery, garlic, and teaspoon each of salt and pepper, stirring occasionally, until golden, to minutes.
9. Add vegetables and bread to sausage.
10. Whisk together eggs, cup cream, turkey stock, cheese, and parsley, then stir into stuffing and cool completely, about minutes.
11. Reserve 5 cups stuffing to stuff turkey and spoon remainder into baking dish, then drizzle with remaining cup cream.
12. Cover stuffing and chill.
13. About 1 hour before stuffed turkey is finished roasting, bring dish of stuffing to room temperature.
14. When turkey is done, increase oven temperature to and bake stuffing, covered tightly with foil, until hot throughout, about minutes.
15. Remove foil and bake until top is golden and crisp, about minutes more.
16. Cooks' Note: Bread can be toasted 3 days ahead and kept (once cool) in a sealed bag at room temperature.
17. Stuffing can be prepared (but not baked) 4 hours before roasting turkey.
18. If baking stuffing at the same time as potatoes, put stuffing in upper third of oven and potatoes in bottom third (allow extra time).",342.85
Snack,Newtons Law,122.4,0.3,2.4,"'1 teaspoon dark brown sugar', '1 teaspoon hot water', '1 oz. bourbon', ' oz. fresh lemon juice', '2 teaspoons apple butter (storebought or homemade)', 'Garnish: orange twist and freshly grated or ground cinnamon'","1. Stir together brown sugar and hot water in a cocktail shaker to dissolve.
2. Let cool, then add bourbon, lemon juice, and apple butter and fill with ice.
3. Shake until well chilled, about seconds.
4. Strain into an ice-filled rocks glass.
5. Garnish with orange twist and cinnamon.",75.4
Snack,Warm Comfort,185.4,6.4,8.0,"'2 chamomile tea bags', ' oz. reposado tequila', ' oz. fresh lemon juice', '1 Tbsp. agave nectar'","1. Place 2 chamomile tea bags in a heatsafe vessel, such as a large liquid measuring cup.
2. Pour in 1 cups boiling water, and let steep 5 minutes, then remove tea bags.
3. Add 1 oz. reposado tequila, oz. fresh lemon juice, and 1 Tbsp. agave nectar and stir until incorporated.
4. Pour into a -ounce insulated mug (or two smaller 8-ounce mugs) and drink hot.",52.65
Snack,Apples And Oranges,207.1,4.0,11.2,"'3 oz. Grand Marnier', '1 oz. Amaro Averna', 'Small pat salted butter (about teaspoon)', '1 cup hot apple cider', ' to 3 tsp. fresh lemon juice (to taste, depending on the sweetness of your cider)', 'Garnish: freshly ground pink peppercorns, plus 2 lemon wheels (optional)'","1. Add 3 oz.
2. Grand Marnier, 1 oz.
3. Amaro Averna, and a small pat of salted butter to a -ounce travel mug or large heatproof measuring cup.
4. Add 1 cup hot apple cider and stir until butter melts.
5. Add tsp. fresh lemon juice and taste for sweetness, adding additional if needed.
6. If serving in travel mug, garnish with ground pink peppercorns and seal.
7. If serving in mugs, divide drink between two warmed mugs and garnish each with a pink peppercorn-dusted lemon wheel.",95.66
Snack,Turmeric Hot Toddy,205.8,6.1,1.0,"' cup granulated sugar', ' tsp. ground turmeric', '1 oz. Amontillado sherry', '1 oz. bourbon, aged rum, Scotch, mezcal, or gin', '1 oz. Turmeric Syrup', ' oz. fresh lemon juice', 'Garnish: Dehydrated lemon wheel (optional)'","1. For the turmeric syrup, combine cup hot water and cup sugar in a liquid measuring cup or mason jar.
2. Add tsp. ground turmeric and stirAor seal and shakeAuntil sugar is completely dissolved. (This makes enough syrup for 4 drinks.
3. Syrup can be used immediately or refrigerated, covered, up to days.
4. Shake or stir before using to reincorporate turmeric.) For the toddy, combine 1 oz.
5. Amontillado sherry, 1 oz. bourbon (or other spirit of choice), 1 oz.
6. Turmeric Syrup, and oz. fresh lemon juice in a sturdy pint glass or -ounce thermos.
7. Top with 8 oz. hot water and stir gently.
8. Garnish with dehydrated lemon wheel if desired.",146.36
Dinner,Instant Pot Lamb Haleem,459.8,30.7,25.4,"' cup assorted dals (such as chana dal, moong dal, masoor dal, andor urad dal)', ' cup white jasmine rice or other long-grain rice', ' cup pearl barley', ' lb. bone-in lamb stew meat', '3 tsp. kosher salt, divided, plus more', '1 6"" piece fresh ginger', '3 medium shallots, thinly sliced', 'A cup ghee or vegetable oil', '4 garlic cloves, finely grated', '2 Tbsp. plus tsp. garam masala', '1 tsp. (or more) cayenne pepper', '1 tsp. ground turmeric', '3 green Thai chiles, stems removed (optional)', ' cup (lightly packed) chopped cilantro, plus more for serving', ' white onion, finely chopped', '2 limes, cut into wedges'","1. Combine dals, rice, and barley in a medium bowl.
2. Pour in water to cover and swish dals and grains around with your fingers.
3. Drain and repeat process until water runs clear enough to see your hands through.
4. Pour in water to cover and let dals and grains soak at room temperature at least 2 hours, or cover and chill up to hours.
5. Place lamb on a plate, pat dry with paper towels, and season all over with 2 tsp. salt; set aside.
6. Peel ginger by scraping off skin with a spoon.
7. Finely grate half of ginger; set aside.
8. Thinly slice remaining ginger.
9. Stack slices and cut crosswise into matchsticks; set aside.
10. If using an electric pressure cooker, combine shallots and ghee in pot and set to sautA function or high.
11. Cook, stirring often and adjusting heat as needed if your cooker has that option, until shallots are just beginning to brown, about 8 minutes (or about 6 minutes if cooking in oil).
12. Reduce to normal function or medium if possible, or, if your cooker doesnAt have a lower setting, turn off for a minute if mixture is getting too hot.
13. Add reserved ginger matchsticks and cook, stirring often, until shallots are brown and crisp and ginger is frizzled, minutes, depending on your cooker.
14. Using a slotted spoon, transfer shallots and ginger to a plate, spreading out into a single layer.
15. Season lightly with salt; let cool.
16. Add garlic, garam masala, cayenne, turmeric, and reserved grated ginger, and cook, stirring constantly, until fragrant, about seconds.
17. Add lamb and stir to coat in spices.
18. Cook, stirring often with a wooden spoon and repeatedly adding splashes of water as spices begin to stick to bottom of pot and scraping up browned bits, until flavors come together, about minutes.(Bhuna, the process of repeated sticking and scraping, is a Southeast Asian cooking technique that brings out the flavor of the spices and ensures they donAt taste raw and grainy.) Drain dal mixture and add to pot along with 1 tsp. salt and 5 cups water.
19. Secure lid and bring to full pressure according to manufacturerAs directions.
20. Cook hours.
21. Let sit minutes, then manually release pressure and open up.
22. Taste haleem and add more salt and cayenne if needed.
23. Add chiles if using. (These are for flavor, not heat; feel free to leave them out.) Simmer on normal function or medium, stirring often, 5 minutes.
24. Stir in cup cilantro.
25. Serve haleem with white onion, lime wedges, reserved crispy shallots and ginger, and more chopped cilantro.
26. If using a medium Dutch oven or stovetop pressure cooker, cook shallots and ghee over high heat, stirring often, until shallots are just beginning to brown, about 8 minutes (or about 6 minutes if cooking in oil).
27. Add reserved ginger matchsticks and cook, stirring often, until shallots are brown and crisp and ginger is frizzled, 5A8 minutes.
28. Using a slotted spoon, transfer shallots and ginger to a plate, spreading out in a single layer.
29. Season lightly with salt; let cool.
30. Reduce heat to medium, add garlic, garam masala, cayenne, turmeric, and reserved grated ginger, and cook, stirring constantly, until fragrant, about seconds.
31. Add lamb and stir to coat in spices.
32. Cook, stirring often with a wooden spoon and repeatedly adding splashes of water as spices begin to stick to bottom of pot and scraping up browned bits, until flavors come together, about minutes. (Bhuna, the process of repeated sticking and scraping, is a Southeast Asian cooking technique that brings out the flavor of the spices and ensures they donAt taste raw and grainy.) Drain dal mixture and add to pot along with 1 tsp. salt and cups water (if using a Dutch oven) or 5 cups water (for pressure cooker).
33. Increase heat to high and bring to a boil, then reduce heat to the low, cover pot, and cook, stirring and scraping bottom of pot every minutes, until meat is falling off the bone and dals and grains have nearly melted into the stew, hours. (If using a stovetop cooker, increase heat to high and bring to a boil.
34. Secure lid and bring to full pressure according to manufacturerAs directions.
35. Cook hours.
36. Let sit minutes, then manually release pressure and open up.) Taste haleem and add more salt and cayenne if needed.
37. Add chiles if using. (These are for flavor, not heat; feel free to leave them out.) Simmer over medium heat, stirring often, 5 minutes.
38. Stir in cup cilantro.
39. Serve haleem with white onion, lime wedges, reserved crispy shallots and ginger, and more chopped cilantro.
40. Do ahead: Haleem can be made 1 day ahead.
41. Let cool; cover and chill.
42. Reheat over medium until warmed through.",400.78
Breakfast,Spiced Lentil And Caramelized Onion Baked Eggs,311.7,24.9,12.6,"'1 (.5-ounce) can basic lentil soup, like AmyAs', '1 large onion, thinly sliced', ' tsp. turmeric', '1 tsp. cumin', ' tsp. Aleppo pepper or A tsp. crushed red pepper flakes', '2 Tbsp. tomato paste', '3 large eggs', '2 Tbsp. ghee, unsalted butter, or olive oil', ' tsp. whole cumin seeds', 'Olive oil', 'Kosher salt and freshly ground black pepper', 'Parsley, for finishing'","1. Place an oven rack in the center of the oven, then preheat to .
2. In a medium, oven-safe pan, heat 1 Tbsp. olive oil over medium heat.
3. Add 1 large, thinly sliced onion and tsp.
4. Kosher salt.
5. Cook, stirring often, until golden brown, about minutes.
6. Add tsp. turmeric, 1 tsp. cumin, tsp.
7. Aleppo pepper (or A tsp. crushed red pepper flakes), and 2 Tbsp. tomato paste.
8. Cook and stir constantly until the onions are coated and the tomato paste has darkened slightly, about 2 minutes.
9. Add A cup water; stir and scrape up all the browned bits on the bottom of the pan for 1 to 2 minutes, or until the liquid looks thickened and saucy.
10. Add one -oz. can of lentil soup; cook, stirring to combine, 1 to 2 minutes.
11. Turn off the heat and season with salt, pepper, and more Aleppo pepper or red pepper flakes to taste.
12. Using a spoon, create 3 wells in the lentil mixture.
13. Carefully crack 1 egg into each well.
14. Transfer the pan to the oven and bake until the whites of the eggs are just set, to minutes.
15. While the eggs bake, in a small pot or butter warmer, heat 2 Tbsp. unsalted butter, ghee, or olive oil over medium heat.
16. Add tsp. cumin seeds; swirl the pan until the seeds start to sizzle and brown, seconds to 1 minute.
17. Remove from the heat.
18. Drizzle the finished eggs with the butter mixture, season with salt and pepper, and garnish with parsley before serving.",201.41
